"tick","uncolonized_count","colonized_count","infection_count","total_count"
677.1,42609,1352,17,43978
678.1,42609,1352,17,43978
679.1,42609,1352,17,43978
680.1,42609,1352,17,43978
681.1,42610,1353,15,43978
682.1,42609,1353,16,43978
683.1,42609,1353,16,43978
684.1,42609,1353,16,43978
685.1,42609,1352,17,43978
686.1,42609,1352,17,43978
687.1,42609,1352,17,43978
688.1,42610,1352,16,43978
689.1,42611,1352,15,43978
690.1,42611,1352,15,43978
691.1,42612,1352,14,43978
692.1,42613,1349,16,43978
693.1,42614,1349,15,43978
694.1,42615,1348,15,43978
695.1,42615,1349,14,43978
696.1,42613,1350,15,43978
697.1,42611,1351,16,43978
698.1,42612,1351,15,43978
699.1,42613,1351,14,43978
700.1,42612,1353,13,43978
701.1,42611,1354,13,43978
702.1,42611,1355,12,43978
703.1,42610,1355,13,43978
704.1,42610,1356,12,43978
705.1,42609,1356,13,43978
706.1,42606,1359,13,43978
707.1,42606,1359,13,43978
708.1,42608,1359,11,43978
709.1,42606,1360,12,43978
710.1,42606,1361,11,43978
711.1,42606,1361,11,43978
712.1,42605,1362,11,43978
713.1,42605,1362,11,43978
714.1,42605,1361,12,43978
715.1,42605,1361,12,43978
716.1,42605,1361,12,43978
717.1,42606,1360,12,43978
718.1,42605,1361,12,43978
719.1,42605,1361,12,43978
720.1,42605,1361,12,43978
721.1,42606,1361,11,43978
722.1,42606,1361,11,43978
723.1,42605,1363,10,43978
724.1,42605,1363,10,43978
725.1,42605,1363,10,43978
726.1,42603,1364,11,43978
727.1,42603,1364,11,43978
728.1,42603,1363,12,43978
729.1,42603,1363,12,43978
730.1,42600,1365,13,43978
731.1,42601,1366,11,43978
732.1,42601,1366,11,43978
733.1,42601,1366,11,43978
734.1,42601,1367,10,43978
735.1,42601,1367,10,43978
736.1,42602,1367,9,43978
737.1,42602,1366,10,43978
738.1,42601,1367,10,43978
739.1,42601,1367,10,43978
740.1,42601,1367,10,43978
741.1,42602,1366,10,43978
742.1,42602,1365,11,43978
743.1,42603,1365,10,43978
744.1,42605,1363,10,43978
745.1,42605,1363,10,43978
746.1,42605,1363,10,43978
747.1,42606,1362,10,43978
748.1,42606,1362,10,43978
749.1,42606,1361,11,43978
750.1,42606,1360,12,43978
