"tick","uncolonized_count","colonized_count","infection_count","total_count"
483.1,42678,1280,20,43978
484.1,42679,1278,21,43978
485.1,42678,1279,21,43978
486.1,42677,1280,21,43978
487.1,42679,1280,19,43978
488.1,42677,1282,19,43978
489.1,42676,1282,20,43978
490.1,42677,1282,19,43978
491.1,42677,1282,19,43978
492.1,42678,1281,19,43978
493.1,42679,1282,17,43978
494.1,42679,1282,17,43978
495.1,42679,1282,17,43978
496.1,42679,1282,17,43978
497.1,42679,1282,17,43978
498.1,42678,1283,17,43978
499.1,42679,1284,15,43978
500.1,42679,1284,15,43978
501.1,42679,1282,17,43978
502.1,42679,1281,18,43978
503.1,42679,1281,18,43978
504.1,42680,1281,17,43978
505.1,42680,1282,16,43978
506.1,42678,1284,16,43978
507.1,42678,1283,17,43978
508.1,42677,1283,18,43978
509.1,42676,1282,20,43978
510.1,42675,1284,19,43978
511.1,42673,1286,19,43978
512.1,42673,1286,19,43978
513.1,42672,1287,19,43978
514.1,42673,1287,18,43978
515.1,42673,1287,18,43978
516.1,42674,1287,17,43978
517.1,42674,1287,17,43978
518.1,42675,1285,18,43978
519.1,42676,1285,17,43978
520.1,42677,1285,16,43978
521.1,42677,1284,17,43978
522.1,42677,1283,18,43978
523.1,42680,1282,16,43978
524.1,42679,1283,16,43978
525.1,42681,1282,15,43978
526.1,42681,1282,15,43978
527.1,42682,1280,16,43978
528.1,42683,1280,15,43978
529.1,42683,1282,13,43978
530.1,42683,1282,13,43978
531.1,42683,1283,12,43978
532.1,42683,1283,12,43978
533.1,42683,1283,12,43978
534.1,42681,1284,13,43978
535.1,42682,1282,14,43978
536.1,42682,1282,14,43978
537.1,42682,1282,14,43978
538.1,42682,1282,14,43978
539.1,42682,1282,14,43978
540.1,42682,1282,14,43978
541.1,42680,1284,14,43978
542.1,42679,1284,15,43978
543.1,42679,1284,15,43978
544.1,42679,1284,15,43978
545.1,42679,1284,15,43978
546.1,42680,1283,15,43978
547.1,42680,1284,14,43978
548.1,42680,1284,14,43978
549.1,42681,1284,13,43978
550.1,42681,1284,13,43978
551.1,42682,1283,13,43978
552.1,42683,1283,12,43978
553.1,42682,1284,12,43978
554.1,42680,1286,12,43978
555.1,42680,1287,11,43978
556.1,42679,1288,11,43978
557.1,42677,1290,11,43978
558.1,42677,1290,11,43978
559.1,42678,1290,10,43978
560.1,42678,1290,10,43978
561.1,42678,1289,11,43978
562.1,42678,1288,12,43978
